command,cpu_utilization,date,time,cpu_percent,mem_percent,power_watts
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:00,1.47,6.56,9.38
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:01,5.88,6.59,9.16
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:02,1.47,6.59,10.6
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:03,1.96,6.59,10.6
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:04,1.22,6.59,9.06
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:05,4.91,6.59,9.06
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:06,0.98,6.59,9.59
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:07,1.46,6.59,9.66
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:08,3.48,6.59,9.66
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:09,2.97,6.59,9.49
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:10,1.48,6.59,10.03
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:11,0.74,6.59,10.03
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:12,3.72,6.59,9.25
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:13,1.23,6.59,10.3
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:14,1.22,6.59,10.3
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:15,1.73,6.59,9.63
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:16,5.92,6.59,9.09
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:17,1.23,6.6,10.77
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:18,1.22,6.6,10.77
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:19,2.45,6.6,9.99
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:20,2.44,6.6,9.99
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:21,1.47,6.6,9.38
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:22,2.7,6.6,9.68
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:23,4.18,6.6,9.68
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:24,2.68,6.6,9.84
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:25,1.47,6.6,11.13
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:26,1.96,6.6,9.19
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:27,3.68,6.6,9.83
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:28,1.22,6.61,9.83
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:29,1.7,6.61,9.61
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:30,3.2,6.61,9.58
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:31,1.98,6.61,9.58
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:32,1.47,6.61,10.2
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:33,5.39,6.61,9.44
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:34,1.96,6.61,9.44
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:35,1.22,6.61,10.28
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:36,1.47,6.61,9.26
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:37,2.955,6.61,9.26
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:38,4.44,6.61,9.93
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:39,1.23,6.61,9.75
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:40,1.22,6.61,9.75
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:41,2.21,6.61,9.32
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:42,3.18,6.61,10.27
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:43,1.71,6.61,10.27
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:44,1.22,6.61,9.24
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:45,3.42,6.61,9.7
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:46,3.93,6.61,9.7
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:47,1.22,6.61,9.81
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:48,1.22,6.61,9.61
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:49,2.94,6.61,9.61
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:50,2.21,6.61,10.22
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:51,0.98,6.61,9.34
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:52,2.21,6.61,9.34
stress-ng --cpu 4 --cpu-load 1 --quiet --timeout 60s,1,4/23/2026,22:12:53,3.44,6.61,10.18
