command,cpu_utilization,date,time,cpu_percent,mem_percent,power_watts,,,9.59
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:00,1.47,6.59,9.45,,,9.59
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:01,5.66,6.59,9.45,,,11.18
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:02,1.96,6.59,10.58,,,11.08
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:03,2.96,6.59,9.91,,,11.08
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:04,1.22,6.59,9.91,,,11.04
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:05,3.92,6.59,9.34,,,10.85
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:06,0.98,6.59,10,,,10.85
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:07,2.94,6.59,10,,,10.94
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:08,1.97,6.59,9.64,,,10.71
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:09,0.98,6.59,9.58,,,10.71
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:10,3.71,6.59,9.58,,,10.8
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:11,1.48,6.59,9.32,,,11.33
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:12,1.98,6.59,10.33,,,11.33
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:13,1.97,6.59,10.33,,,10.38
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:14,1.97,6.59,9.72,,,10.96
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:15,2.44,6.59,9.66,,,10.96
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:16,1.97,6.59,9.66,,,11.38
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:17,2.69,6.6,9.63,,,10.61
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:18,1.96,6.6,9.92,,,10.61
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:19,4.17,6.6,9.92,,,11.1
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:20,3.19,6.6,10.16,,,11.14
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:21,2.7,6.6,9.91,,,11.14
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:22,0.99,6.6,9.91,,,11.03
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:23,3.17,6.6,9.49,,,10.73
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:24,0.98,6.6,9.81,,,10.73
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:25,3.19,6.6,9.81,,,11.53
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:26,1.72,6.6,9.74,,,11.25
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:27,2.355,6.6,9.78,,,11.25
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:28,2.99,6.6,9.78,,,11.44
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:29,0.74,6.6,10.12,,,11.14
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:30,3.23,6.59,9.995,,,11.14
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:31,0.99,6.59,9.87,,,11.51
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:32,2.96,6.59,9.87,,,11.01
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:33,1.24,6.59,9.97,,,11.01
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:34,2.46,6.59,9.72,,,10.96
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:35,2.45,6.59,9.72,,,10.88
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:36,2.69,6.59,10.08,,,10.88
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:37,1.96,6.59,9.76,,,10.75
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:38,2.21,6.59,9.76,,,10.8
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:39,1.96,6.59,9.75,,,10.8
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:40,1.97,6.59,9.73,,,11.07
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:41,1.96,6.59,9.73,,,11.13
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:42,3.43,6.59,10.04,,,11.13
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:43,2.2,6.59,9.26,,,10.8
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:44,1.47,6.58,9.26,,,11.03
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:45,3.2,6.58,9.95,,,11.03
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:46,0.99,6.58,9.32,,,11.31
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:47,3.67,6.58,9.32,,,10.84
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:48,2.21,6.58,10.26,,,10.84
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:49,1.23,6.58,9.74,,,10.92
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:50,1.96,6.58,9.74,,,12.02
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:51,1.97,6.58,9.64,,,12.02
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:52,2.21,6.58,9.87,,,10.55
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:53,2.2,6.58,9.87,,,10.87
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:54,2.21,6.58,9.63,,,10.87
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:55,2.46,6.58,9.82,,,10.51
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:56,1.97,6.58,9.82,,,12.21
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:57,3.45,6.58,10.02,,,12.21
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:58,1.73,6.58,9.6,,,10.8
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:28:59,1.23,6.58,9.6,,,11.62
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/23/2026,22:29:00,2.45,6.59,9.76,,,9.27
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:30,1.23,7.04,9.16,,,10.15
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:31,4.15,7.06,9.12,,,10.15
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:32,1.71,7.06,10.22,,,10.15
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:33,3.19,7.06,10.22,,,11.33
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:34,1.46,7.06,9.78,,,11.34
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:35,3.18,7.06,9.78,,,11.34
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:36,1.72,7.06,9.28,,,11.16
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:37,2.71,7.06,9.49,,,11.11
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:38,0.98,7.06,9.49,,,10.97
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:39,4.16,7.06,9.89,,,10.86
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:40,0.98,7.06,9.61,,,10.86
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:41,2.21,7.06,9.61,,,11.21
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:42,2.44,7.06,9.06,,,11.01
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:43,2.44,7.06,9.83,,,11.01
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:44,1.97,7.06,9.83,,,11.1
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:45,2.2,7.06,9.5,,,10.95
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:46,2.94,7.06,9.44,,,10.95
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:47,1.97,7.06,9.44,,,11.45
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:48,2.44,7.06,9.96,,,10.61
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:49,2.21,7.06,9.69,,,10.61
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:50,1.96,7.06,9.69,,,11.19
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:51,1.835,7.06,9.7,,,10.78
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:52,1.71,7.06,9.63,,,10.78
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:53,1.71,7.06,9.63,,,11.33
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:54,2.44,7.06,9.85,,,11.22
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:55,1.96,7.06,9.42,,,11.22
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:56,2.7,7.06,9.42,,,11.31
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:57,2.21,7.06,9.75,,,11.36
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:58,1.22,7.06,9.65,,,11.36
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:34:59,3.44,7.06,9.65,,,11.1
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:35:00,1.22,7.06,9.22,,,10.42
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:35:01,3.43,7.06,9.32,,,10.42
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:35:02,3.18,7.06,9.32,,,11.55
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:35:03,1.22,7.06,10.05,,,11.02
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:35:04,1.72,7.06,9.34,,,11.02
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:35:05,3.2,7.06,9.34,,,10.77
stress-ng --cpu 2 --cpu-load 2 --quiet --timeout 60s,1,4/24/2026,11:35:06,1.23,7.06,9.59,,,10.99
