command,cpu_utilization,date,time,cpu_percent,mem_percent,power_watts
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:51:55,2.23,6.95,9.65
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:51:56,3.21,7,9.34
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:51:57,1.71,6.99,10.63
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:51:58,2.2,6.99,10.63
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:51:59,1.47,6.99,9.24
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:00,2.95,6.99,9.24
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:01,2.45,6.98,9.82
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:02,1.71,6.98,9.93
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:03,2.21,6.98,9.93
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:04,1.23,6.98,9.6
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:05,1.96,6.98,9.24
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:06,1.71,6.95,9.24
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:07,1.22,6.95,9.59
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:08,1.22,6.95,9.66
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:09,0.98,6.95,9.66
stress-ng --cpu 4 --cpu-load 0 --quiet --timeout 60s,0,4/23/2026,19:52:10,1.47,6.95,9.25
