command,cpu_utilization,date,start_time,end_time
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:29,11:54:29
stress-ng --cpu 2 --cpu-load 88 --quiet --timeout 60s,44,4/27/2026,11:55:29,11:56:29
stress-ng --cpu 1 --cpu-load 72 --quiet --timeout 60s,18,4/27/2026,11:57:29,11:58:29
stress-ng --cpu 3 --cpu-load 85 --quiet --timeout 60s,63.75,4/27/2026,11:59:29,12:00:29
stress-ng --cpu 2 --cpu-load 52 --quiet --timeout 60s,26,4/27/2026,12:01:29,12:02:29
stress-ng --cpu 2 --cpu-load 66 --quiet --timeout 60s,33,4/27/2026,12:03:29,12:04:29
stress-ng --cpu 1 --cpu-load 44 --quiet --timeout 60s,11,4/27/2026,12:05:29,12:06:29
stress-ng --cpu 3 --cpu-load 81 --quiet --timeout 60s,60.75,4/27/2026,12:07:29,12:08:29
stress-ng --cpu 2 --cpu-load 76 --quiet --timeout 60s,38,4/27/2026,12:09:29,12:10:29
stress-ng --cpu 1 --cpu-load 52 --quiet --timeout 60s,13,4/27/2026,12:11:29,12:12:29
stress-ng --cpu 3 --cpu-load 92 --quiet --timeout 60s,69,4/27/2026,12:13:29,12:14:29
stress-ng --cpu 2 --cpu-load 60 --quiet --timeout 60s,30,4/27/2026,12:15:29,12:16:29
stress-ng --cpu 2 --cpu-load 82 --quiet --timeout 60s,41,4/27/2026,12:17:29,12:18:29
stress-ng --cpu 3 --cpu-load 96 --quiet --timeout 60s,72,4/27/2026,12:19:29,12:20:30
stress-ng --cpu 1 --cpu-load 92 --quiet --timeout 60s,23,4/27/2026,12:21:30,12:22:30
stress-ng --cpu 2 --cpu-load 92 --quiet --timeout 60s,46,4/27/2026,12:23:30,12:24:30
stress-ng --cpu 3 --cpu-load 88 --quiet --timeout 60s,66,4/27/2026,12:25:30,12:26:30
stress-ng --cpu 1 --cpu-load 56 --quiet --timeout 60s,14,4/27/2026,12:27:30,12:28:30
stress-ng --cpu 3 --cpu-load 90 --quiet --timeout 60s,67.5,4/27/2026,12:29:30,12:30:30
stress-ng --cpu 1 --cpu-load 60 --quiet --timeout 60s,15,4/27/2026,12:31:30,12:32:30
stress-ng --cpu 1 --cpu-load 96 --quiet --timeout 60s,24,4/27/2026,12:33:30,12:34:30
stress-ng --cpu 2 --cpu-load 86 --quiet --timeout 60s,43,4/27/2026,12:35:30,12:36:30
stress-ng --cpu 3 --cpu-load 84 --quiet --timeout 60s,63,4/27/2026,12:37:30,12:38:30
stress-ng --cpu 3 --cpu-load 98 --quiet --timeout 60s,73.5,4/27/2026,12:39:30,12:40:30
stress-ng --cpu 2 --cpu-load 58 --quiet --timeout 60s,29,4/27/2026,12:41:30,12:42:30
stress-ng --cpu 3 --cpu-load 80 --quiet --timeout 60s,60,4/27/2026,12:43:30,12:44:30
stress-ng --cpu 1 --cpu-load 48 --quiet --timeout 60s,12,4/27/2026,12:45:30,12:46:30
stress-ng --cpu 1 --cpu-load 84 --quiet --timeout 60s,21,4/27/2026,12:47:30,12:48:30
stress-ng --cpu 2 --cpu-load 94 --quiet --timeout 60s,47,4/27/2026,12:49:30,12:50:30
stress-ng --cpu 1 --cpu-load 76 --quiet --timeout 60s,19,4/27/2026,12:51:30,12:52:30
stress-ng --cpu 3 --cpu-load 86 --quiet --timeout 60s,64.5,4/27/2026,12:53:30,12:54:30
stress-ng --cpu 1 --cpu-load 88 --quiet --timeout 60s,22,4/27/2026,12:55:30,12:56:30
stress-ng --cpu 1 --cpu-load 32 --quiet --timeout 60s,8,4/27/2026,12:57:30,12:58:30
stress-ng --cpu 2 --cpu-load 96 --quiet --timeout 60s,48,4/27/2026,12:59:30,13:00:30
stress-ng --cpu 2 --cpu-load 74 --quiet --timeout 60s,37,4/27/2026,13:01:30,13:02:30
stress-ng --cpu 2 --cpu-load 70 --quiet --timeout 60s,35,4/27/2026,13:03:30,13:04:30
stress-ng --cpu 1 --cpu-load 80 --quiet --timeout 60s,20,4/27/2026,13:05:30,13:06:31
stress-ng --cpu 2 --cpu-load 54 --quiet --timeout 60s,27,4/27/2026,13:07:31,13:08:31
stress-ng --cpu 1 --cpu-load 28 --quiet --timeout 60s,7,4/27/2026,13:09:31,13:10:31
stress-ng --cpu 2 --cpu-load 68 --quiet --timeout 60s,34,4/27/2026,13:11:31,13:12:31
stress-ng --cpu 1 --cpu-load 68 --quiet --timeout 60s,17,4/27/2026,13:13:31,13:14:31
stress-ng --cpu 1 --cpu-load 40 --quiet --timeout 60s,10,4/27/2026,13:15:31,13:16:31
stress-ng --cpu 3 --cpu-load 87 --quiet --timeout 60s,65.25,4/27/2026,13:17:31,13:18:31
stress-ng --cpu 2 --cpu-load 90 --quiet --timeout 60s,45,4/27/2026,13:19:31,13:20:31
stress-ng --cpu 3 --cpu-load 95 --quiet --timeout 60s,71.25,4/27/2026,13:21:31,13:22:31
stress-ng --cpu 2 --cpu-load 64 --quiet --timeout 60s,32,4/27/2026,13:23:31,13:24:31
stress-ng --cpu 3 --cpu-load 89 --quiet --timeout 60s,66.75,4/27/2026,13:25:31,13:26:31
stress-ng --cpu 3 --cpu-load 79 --quiet --timeout 60s,59.25,4/27/2026,13:27:31,13:28:31
stress-ng --cpu 3 --cpu-load 94 --quiet --timeout 60s,70.5,4/27/2026,13:29:31,13:30:31
stress-ng --cpu 2 --cpu-load 100 --quiet --timeout 60s,50,4/27/2026,13:31:31,13:32:31
stress-ng --cpu 3 --cpu-load 76 --quiet --timeout 60s,57,4/27/2026,13:33:31,13:34:31
stress-ng --cpu 3 --cpu-load 77 --quiet --timeout 60s,57.75,4/27/2026,13:35:31,13:36:31
stress-ng --cpu 3 --cpu-load 97 --quiet --timeout 60s,72.75,4/27/2026,13:37:31,13:38:31
stress-ng --cpu 1 --cpu-load 100 --quiet --timeout 60s,25,4/27/2026,13:39:31,13:40:31
stress-ng --cpu 2 --cpu-load 98 --quiet --timeout 60s,49,4/27/2026,13:41:31,13:42:31
stress-ng --cpu 1 --cpu-load 36 --quiet --timeout 60s,9,4/27/2026,13:43:31,13:44:31
stress-ng --cpu 3 --cpu-load 78 --quiet --timeout 60s,58.5,4/27/2026,13:45:31,13:46:31
stress-ng --cpu 2 --cpu-load 78 --quiet --timeout 60s,39,4/27/2026,13:47:31,13:48:31
stress-ng --cpu 3 --cpu-load 93 --quiet --timeout 60s,69.75,4/27/2026,13:49:31,13:50:32
stress-ng --cpu 2 --cpu-load 84 --quiet --timeout 60s,42,4/27/2026,13:51:32,13:52:32
stress-ng --cpu 3 --cpu-load 99 --quiet --timeout 60s,74.25,4/27/2026,13:53:32,13:54:32
