command,cpu_utilization,date,time,cpu_percent,mem_percent,power_watts,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:29,8.37,8.42,11.19,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:30,36.75,8.42,14.95,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:31,37.12,8.42,14.95,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:32,36.56,8.42,25.61,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:33,36.97,8.42,25.64,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:34,36.81,8.42,25.64,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:35,37.12,8.42,26.07,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:36,36.65,8.42,25.91,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:37,36.97,8.42,25.91,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:38,37.22,8.42,25.21,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:39,36.15,8.42,24.78,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:40,37.12,8.41,24.78,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:41,36.59,8.41,24.92,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:42,36.88,8.41,24.37,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:43,36.97,8.41,24.37,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:44,36.72,8.41,24.41,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:45,36.9,8.41,24.92,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:46,36.81,8.41,24.92,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:47,36.22,8.41,24.88,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:48,37.15,8.41,24.84,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:49,36.63,8.41,24.84,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:50,36.5,8.41,25.47,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:51,36.79,8.41,25.87,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:52,36.65,8.41,25.87,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:53,37.06,8.41,25.89,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:54,36.31,8.41,25.54,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:55,36.79,8.41,25.54,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:56,36.9,8.41,25.45,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:57,36.38,8.41,25.04,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:58,36.81,8.41,25.04,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:53:59,36.56,8.41,25.24,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:00,36.47,8.39,25.57,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:01,36.88,8.39,25.57,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:02,36.81,8.39,25.59,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:03,36.65,8.39,25.535,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:04,36.97,8.39,25.48,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:05,36.72,8.4,25.48,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:06,36.56,8.39,25.23,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:07,36.88,8.39,25.35,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:08,36.97,8.39,25.35,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:09,36.4,8.39,24.57,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:10,37.46,8.39,25.03,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:11,36.31,8.39,25.03,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:12,36.72,8.39,25.1,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:13,36.81,8.39,25.47,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:14,36.47,8.39,25.47,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:15,36.81,8.39,24.81,,,,,,,
stress-ng --cpu 2 --cpu-load 72 --quiet --timeout 60s,36,4/27/2026,11:54:16,37.22,8.39,25.34,,,,,,,
