command,cpu_utilization,date,time,cpu_percent,mem_percent,power_watts
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:15,0.12,2.08,123
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:16,0.52,2.15,111
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:17,0.12,2.15,135
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:18,0.12,2.15,128
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:19,0.09,2.16,116
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:20,0.09,2.15,112
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:21,0.12,2.15,127
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:22,0.18,2.15,124
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:23,0.09,2.15,115
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:24,0.15,2.16,118
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:25,0.09,2.15,125
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:26,0.15,2.15,123
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:27,0.12,2.15,125
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:28,0.15,2.15,110
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:29,0.12,2.15,123
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:30,0.12,2.15,118
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:31,0.12,2.16,123
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:32,0.15,2.16,123.5
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:33,0.15,2.16,124
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:34,0.09,2.16,106
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:35,0.15,2.15,124
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:36,0.12,2.14,118
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:37,0.15,2.14,125
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:38,0.09,2.14,134
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:39,0.18,2.14,115
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:40,0.12,2.14,123
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:41,0.15,2.14,112
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:42,0.12,2.14,128
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:43,0.15,2.14,125
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:44,0.12,2.14,112
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:45,0.18,2.13,127
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:46,0.12,2.13,123
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:47,0.12,2.13,120
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:48,0.15,2.13,126
