command,cpu_utilization,date,start_time,end_time
stress-ng --cpu 24 --cpu-load 25 --timeout 60s --quiet,18.75,5/14/2026,19:17:59,19:18:59
stress-ng --cpu 24 --cpu-load 59 --timeout 60s --quiet,44.25,5/14/2026,19:19:59,19:20:59
stress-ng --cpu 24 --cpu-load 43 --timeout 60s --quiet,32.25,5/14/2026,19:21:59,19:22:59
stress-ng --cpu 24 --cpu-load 6 --timeout 60s --quiet,4.5,5/14/2026,19:23:59,19:25:00
stress-ng --cpu 16 --cpu-load 68 --timeout 60s --quiet,34,5/14/2026,19:26:00,19:27:00
stress-ng --cpu 24 --cpu-load 99 --timeout 60s --quiet,74.25,5/14/2026,19:28:00,19:29:00
stress-ng --cpu 16 --cpu-load 70 --timeout 60s --quiet,35,5/14/2026,19:30:00,19:31:00
stress-ng --cpu 24 --cpu-load 10 --timeout 60s --quiet,7.5,5/14/2026,19:32:00,19:33:01
stress-ng --cpu 16 --cpu-load 78 --timeout 60s --quiet,39,5/14/2026,19:34:01,19:35:01
stress-ng --cpu 24 --cpu-load 84 --timeout 60s --quiet,63,5/14/2026,19:36:01,19:37:01
stress-ng --cpu 24 --cpu-load 78 --timeout 60s --quiet,58.5,5/14/2026,19:38:01,19:39:01
stress-ng --cpu 16 --cpu-load 2 --timeout 60s --quiet,1,5/14/2026,19:40:01,19:41:01
stress-ng --cpu 32 --cpu-load 95 --timeout 60s --quiet,95,5/14/2026,19:42:01,19:43:01
stress-ng --cpu 8 --cpu-load 36 --timeout 60s --quiet,9,5/14/2026,19:44:01,19:45:02
stress-ng --cpu 24 --cpu-load 13 --timeout 60s --quiet,9.75,5/14/2026,19:46:02,19:47:02
stress-ng --cpu 8 --cpu-load 8 --timeout 60s --quiet,2,5/14/2026,19:48:02,19:49:03
stress-ng --cpu 32 --cpu-load 58 --timeout 60s --quiet,58,5/14/2026,19:50:03,19:51:03
stress-ng --cpu 24 --cpu-load 33 --timeout 60s --quiet,24.75,5/14/2026,19:52:03,19:53:03
stress-ng --cpu 24 --cpu-load 56 --timeout 60s --quiet,42,5/14/2026,19:54:03,19:55:04
stress-ng --cpu 24 --cpu-load 2 --timeout 60s --quiet,1.5,5/14/2026,19:56:04,19:57:05
stress-ng --cpu 24 --cpu-load 96 --timeout 60s --quiet,72,5/14/2026,19:58:05,19:59:05
stress-ng --cpu 24 --cpu-load 95 --timeout 60s --quiet,71.25,5/14/2026,20:00:05,20:01:05
stress-ng --cpu 32 --cpu-load 49 --timeout 60s --quiet,49,5/14/2026,20:02:05,20:03:05
stress-ng --cpu 16 --cpu-load 74 --timeout 60s --quiet,37,5/14/2026,20:04:05,20:05:05
stress-ng --cpu 32 --cpu-load 72 --timeout 60s --quiet,72,5/14/2026,20:06:05,20:07:06
stress-ng --cpu 24 --cpu-load 9 --timeout 60s --quiet,6.75,5/14/2026,20:08:06,20:09:06
stress-ng --cpu 16 --cpu-load 84 --timeout 60s --quiet,42,5/14/2026,20:10:06,20:11:06
stress-ng --cpu 16 --cpu-load 6 --timeout 60s --quiet,3,5/14/2026,20:12:06,20:13:06
stress-ng --cpu 16 --cpu-load 30 --timeout 60s --quiet,15,5/14/2026,20:14:06,20:15:06
stress-ng --cpu 32 --cpu-load 48 --timeout 60s --quiet,48,5/14/2026,20:16:06,20:17:07
stress-ng --cpu 24 --cpu-load 44 --timeout 60s --quiet,33,5/14/2026,20:18:07,20:19:07
stress-ng --cpu 24 --cpu-load 22 --timeout 60s --quiet,16.5,5/14/2026,20:20:07,20:21:07
stress-ng --cpu 32 --cpu-load 69 --timeout 60s --quiet,69,5/14/2026,20:22:07,20:23:07
stress-ng --cpu 8 --cpu-load 92 --timeout 60s --quiet,23,5/14/2026,20:24:07,20:25:08
stress-ng --cpu 24 --cpu-load 92 --timeout 60s --quiet,69,5/14/2026,20:26:08,20:27:08
stress-ng --cpu 32 --cpu-load 46 --timeout 60s --quiet,46,5/14/2026,20:28:08,20:29:08
stress-ng --cpu 24 --cpu-load 41 --timeout 60s --quiet,30.75,5/14/2026,20:30:08,20:31:08
stress-ng --cpu 32 --cpu-load 87 --timeout 60s --quiet,87,5/14/2026,20:32:08,20:33:08
stress-ng --cpu 24 --cpu-load 38 --timeout 60s --quiet,28.5,5/14/2026,20:34:08,20:35:09
stress-ng --cpu 24 --cpu-load 27 --timeout 60s --quiet,20.25,5/14/2026,20:36:09,20:37:09
stress-ng --cpu 32 --cpu-load 74 --timeout 60s --quiet,74,5/14/2026,20:38:09,20:39:09
stress-ng --cpu 32 --cpu-load 29 --timeout 60s --quiet,29,5/14/2026,20:40:09,20:41:10
stress-ng --cpu 24 --cpu-load 71 --timeout 60s --quiet,53.25,5/14/2026,20:42:10,20:43:10
stress-ng --cpu 32 --cpu-load 27 --timeout 60s --quiet,27,5/14/2026,20:44:10,20:45:10
stress-ng --cpu 32 --cpu-load 62 --timeout 60s --quiet,62,5/14/2026,20:46:10,20:47:10
stress-ng --cpu 8 --cpu-load 28 --timeout 60s --quiet,7,5/14/2026,20:48:10,20:49:11
stress-ng --cpu 16 --cpu-load 52 --timeout 60s --quiet,26,5/14/2026,20:50:11,20:51:11
stress-ng --cpu 32 --cpu-load 30 --timeout 60s --quiet,30,5/14/2026,20:52:11,20:53:11
stress-ng --cpu 32 --cpu-load 65 --timeout 60s --quiet,65,5/14/2026,20:54:11,20:55:11
stress-ng --cpu 24 --cpu-load 90 --timeout 60s --quiet,67.5,5/14/2026,20:56:11,20:57:12
stress-ng --cpu 16 --cpu-load 72 --timeout 60s --quiet,36,5/14/2026,20:58:12,20:59:12
stress-ng --cpu 16 --cpu-load 98 --timeout 60s --quiet,49,5/14/2026,21:00:12,21:01:12
stress-ng --cpu 32 --cpu-load 83 --timeout 60s --quiet,83,5/14/2026,21:02:12,21:03:12
stress-ng --cpu 16 --cpu-load 90 --timeout 60s --quiet,45,5/14/2026,21:04:12,21:05:12
stress-ng --cpu 32 --cpu-load 90 --timeout 60s --quiet,90,5/14/2026,21:06:12,21:07:12
stress-ng --cpu 24 --cpu-load 3 --timeout 60s --quiet,2.25,5/14/2026,21:08:12,21:09:13
stress-ng --cpu 16 --cpu-load 80 --timeout 60s --quiet,40,5/14/2026,21:10:13,21:11:14
stress-ng --cpu 32 --cpu-load 78 --timeout 60s --quiet,78,5/14/2026,21:12:14,21:13:14
stress-ng --cpu 32 --cpu-load 51 --timeout 60s --quiet,51,5/14/2026,21:14:14,21:15:14
stress-ng --cpu 32 --cpu-load 15 --timeout 60s --quiet,15,5/14/2026,21:16:14,21:17:14
stress-ng --cpu 32 --cpu-load 25 --timeout 60s --quiet,25,5/14/2026,21:18:14,21:19:15
stress-ng --cpu 32 --cpu-load 100 --timeout 60s --quiet,100,5/14/2026,21:20:15,21:21:15
stress-ng --cpu 32 --cpu-load 84 --timeout 60s --quiet,84,5/14/2026,21:22:15,21:23:15
stress-ng --cpu 24 --cpu-load 31 --timeout 60s --quiet,23.25,5/14/2026,21:24:15,21:25:15
stress-ng --cpu 32 --cpu-load 0 --timeout 60s --quiet,0,5/14/2026,21:26:15,21:27:15
stress-ng --cpu 32 --cpu-load 14 --timeout 60s --quiet,14,5/14/2026,21:28:15,21:29:16
stress-ng --cpu 16 --cpu-load 20 --timeout 60s --quiet,10,5/14/2026,21:30:16,21:31:17
stress-ng --cpu 16 --cpu-load 8 --timeout 60s --quiet,4,5/14/2026,21:32:17,21:33:18
stress-ng --cpu 24 --cpu-load 8 --timeout 60s --quiet,6,5/14/2026,21:34:18,21:35:18
stress-ng --cpu 32 --cpu-load 23 --timeout 60s --quiet,23,5/14/2026,21:36:18,21:37:18
stress-ng --cpu 16 --cpu-load 14 --timeout 60s --quiet,7,5/14/2026,21:38:18,21:39:19
stress-ng --cpu 16 --cpu-load 26 --timeout 60s --quiet,13,5/14/2026,21:40:19,21:41:19
stress-ng --cpu 8 --cpu-load 4 --timeout 60s --quiet,1,5/14/2026,21:42:19,21:43:20
stress-ng --cpu 32 --cpu-load 82 --timeout 60s --quiet,82,5/14/2026,21:44:20,21:45:20
stress-ng --cpu 32 --cpu-load 47 --timeout 60s --quiet,47,5/14/2026,21:46:20,21:47:20
stress-ng --cpu 8 --cpu-load 96 --timeout 60s --quiet,24,5/14/2026,21:48:20,21:49:21
stress-ng --cpu 24 --cpu-load 35 --timeout 60s --quiet,26.25,5/14/2026,21:50:21,21:51:21
