cores,cpu_utilization,Mean,Median,Mode,KDE_Mode,KDE_Mean,KDE_Median,P25,P75,P90,SD
1core,0,9.385483871,9.37,9.37,9.353281641,9.392618331,9.368186641,9.195,9.505,9.66,0.293664647
1core,1,9.734576271,9.7,9.33,9.565517759,9.745808153,9.728386738,9.5,9.93,10.062,0.290150508
1core,2,10.05403614,10.05,10.61,10.07031516,10.04262828,10.04148533,9.88,10.2,10.438,0.285918991
1core,3,10.29459459,10.25,10.09,10.17821411,10.28833613,10.25026297,10.0925,10.4475,10.59,0.302365963
1core,4,10.595875,10.565,10.3,10.55223612,10.60405899,10.57270544,10.4175,10.71,10.943,0.274400122
1core,5,10.63967949,10.61,10.48,10.55958479,10.64221406,10.61269779,10.48,10.765,11,0.264737483
1core,6,10.66548387,10.62,10.5,10.59467734,10.69418443,10.62548306,10.4525,10.7075,10.878,0.547556951
1core,7,11.0253012,11,11.04,10.95230115,11.02705965,10.98543152,10.83,11.125,11.318,0.303513319
1core,8,11.22815385,11.21,11.12,11.14561781,11.23469695,11.21592034,11.08,11.37,11.456,0.223878401
1core,9,11.5369697,11.515,11.43,11.62734367,11.53492872,11.53019079,11.3275,11.7,11.81,0.301136155
1core,10,11.76205607,11.74,11.45,11.81507754,11.769981,11.75344768,11.535,11.95,12.02,0.368985704
1core,11,12.1875,12.17,12.26,12.18889445,12.18061143,12.16496947,11.9775,12.315,12.605,0.27970988
1core,12,13.39756,13.39,13.09,13.41833917,13.39172349,13.3756804,13.17,13.58,13.682,0.364449218
1core,13,15.09053571,15.06,15.03,15.02052526,15.08027721,15.05106715,14.8925,15.2325,15.442,0.282750937
1core,14,16.66351351,16.635,16.52,16.56121061,16.66644712,16.64083361,16.52,16.7825,16.896,0.224919834
1core,15,17.66486111,17.615,17.58,17.57296148,17.66827133,17.63513294,17.4975,17.785,17.96,0.237598669
1core,16,18.13238411,18.09,17.95,18.00152576,18.13517786,18.09773033,17.965,18.26,18.41,0.223969369
1core,17,18.75664384,18.72,18.54,18.58276638,18.75944922,18.72313284,18.55,18.88,19.09,0.274204247
1core,18,19.20559441,19.16,18.98,19.06376188,19.20457806,19.16898516,19,19.36,19.518,0.287249272
1core,19,19.85456081,19.795,19.58,19.72658329,19.84604425,19.8228639,19.68,20.0125,20.112,0.283068061
1core,20,20.36368966,20.37,20.39,20.40361681,20.38452923,20.37285155,20.12,20.53,20.73,0.28404263
1core,21,20.86131579,20.85,20.76,20.82368684,20.85755409,20.85026947,20.7375,21.01,21.138,0.212611277
1core,22,21.47912752,21.46,21.52,21.46353677,21.48746695,21.46593502,21.32,21.61,21.706,0.233194423
1core,23,22.04822148,22.02,22.01,22.01122061,22.05076213,22.02079686,21.89,22.14,22.36,0.248456773
1core,24,22.46687075,22.42,22.44,22.35808404,22.46737905,22.42772015,22.29,22.61,22.754,0.282500582
1core,25,22.98266667,22.935,22.86,22.91569785,22.98746368,22.95300889,22.8325,23.11,23.255,0.285545908
2core,0,9.385483871,9.37,9.37,9.353281641,9.392618331,9.368186641,9.195,9.505,9.66,0.293664647
2core,1,9.701126761,9.69,9.64,9.693071536,9.70201179,9.687648493,9.525,9.82,10.02,0.277969933
2core,2,10.15948052,10.12,10.14,10.08363682,10.19011033,10.14603224,9.91,10.4,10.646,0.379698274
2core,3,10.57921875,10.615,10.35,10.62144572,10.59107756,10.57557919,10.345,10.8025,11.02,0.367238968
2core,4,11.11820225,11.15,10.89,11.21613807,11.13409746,11.13261088,10.86,11.32,11.576,0.446566603
2core,5,11.03356164,11.02,10.94,11.00413207,11.03857931,11.02504028,10.87,11.21,11.354,0.29454942
2core,6,11.26638554,11.23,11.41,11.16384692,11.27201498,11.25282108,11.065,11.41,11.538,0.264955488
2core,7,11.60388889,11.56,11.28,11.54775388,11.62401174,11.58022102,11.365,11.7375,12.026,0.315204184
2core,8,11.89928571,11.88,11.87,11.86423712,11.8999982,11.88902375,11.7575,12.045,12.28,0.275365193
2core,9,12.13775,12.1,12.29,12.06573287,12.14145243,12.0983789,11.8375,12.3,12.57,0.546579641
2core,10,12.32346154,12.285,12.23,12.25864432,12.32381072,12.29165126,12.01,12.6375,12.96,0.525215669
2core,11,12.46195402,12.58,12.59,12.61301151,12.46123931,12.51001392,12.255,12.67,12.782,0.370442347
2core,12,12.712,12.735,12.5,12.73125563,12.70130496,12.74350166,12.5175,13.0225,13.22,0.422099634
2core,13,13.11268817,13.15,12.95,13.17967984,13.12054113,13.15251481,12.86,13.41,13.682,0.525911506
2core,14,12.80262821,12.845,13.55,13.2106003,12.78473736,12.86677378,12.43,13.2975,13.55,0.623410042
2core,15,13.01577465,13.03,11.83,13.21782391,13.05256576,13.0732488,12.57,13.445,13.65,0.687932019
2core,16,12.71458333,12.69,13.43,12.72371186,12.72047654,12.70588978,12.2925,13.09,13.43,0.599332816
2core,17,12.16464286,12.12,12.2,12.11325663,12.17146004,12.13553433,11.985,12.295,12.509,0.319315708
2core,18,12.1852381,12.22,12.05,12.21141571,12.1847637,12.19107314,12,12.39,12.607,0.359579662
2core,19,12.50956522,12.47,12.46,12.43924962,12.51451039,12.50042868,12.3,12.7,12.872,0.282922951
2core,20,12.67988889,12.62,12.54,12.53927964,12.68716859,12.65576802,12.465,12.8775,13.094,0.342103521
2core,21,12.95727273,12.925,13.37,12.92132566,12.96518577,12.94709469,12.7475,13.11,13.363,0.335719256
2core,22,13.5946875,13.59,13.89,13.34612806,13.58676849,13.57680889,13.3375,13.8325,13.935,0.291135538
2core,23,14.5140566,14.395,13.78,14.34231116,14.48226973,14.37808499,14.005,14.665,15.105,0.984286813
2core,24,15.52157407,15.45,14.93,15.41415708,15.50591151,15.44698916,15.15,15.7,16.023,0.837909238
2core,25,17.08086207,17.11,16.99,17.11689345,17.07756214,17.09124748,16.7775,17.41,17.7,0.480560486
2core,26,19.14186916,18.76,18.58,18.62664332,19.14088483,18.86291018,18.425,19.365,20.9,1.157141184
2core,27,22.02745968,22.11,22.07,22.27266633,21.98891749,22.0630218,21.455,22.63,23.151,0.875627184
2core,28,22.95266667,23.02,23.38,23.27870935,22.94397893,22.99375241,22.635,23.38,23.53,0.535074552
2core,29,23.06620968,23.04,23.16,22.78301651,23.04610005,23.03940659,22.44,23.6125,24.024,0.711104251
